,행정동,연도,전출자수,전입자수,전출_대비_전입_비율
4,고운동,2021,2599.0,2914,112.12004617160447
9,금남면,2021,1114.0,1407,126.30161579892281
15,대평동,2021,788.0,1294,164.21319796954316
20,도담동,2021,3855.0,6073,157.53566796368352
25,보람동,2021,1609.0,1401,87.07271597265382
30,부강면,2021,832.0,680,81.73076923076923
35,새롬동,2021,3964.0,5774,145.66094853683148
39,소담동,2021,2158.0,3331,154.35588507877665
44,소정면,2021,148.0,405,273.64864864864865
49,아름동,2021,1530.0,1574,102.87581699346404
54,연기면,2021,408.0,392,96.07843137254902
59,연동면,2021,366.0,535,146.17486338797815
64,연서면,2021,1091.0,1043,95.60036663611365
69,장군면,2021,806.0,1268,157.32009925558313
74,전동면,2021,217.0,352,162.21198156682027
79,전의면,2021,537.0,520,96.8342644320298
84,조치원읍,2021,7844.0,8198,104.51300356960733
89,종촌동,2021,2350.0,1791,76.2127659574468
94,한솔동,2021,1564.0,1334,85.29411764705883
